iter	Passed	Remaining
0	228	274569
1	336	201657
2	435	173594
3	526	157459
4	622	148703
5	721	143503
6	817	139293
7	912	135998
8	1009	133556
9	1105	131573
10	1217	131566
11	1325	131225
12	1430	130584
13	1549	131258
14	1646	130081
15	1758	130152
16	1877	130682
17	2002	131470
18	2103	130777
19	2212	130557
20	2326	130620
21	2450	131211
22	2565	131305
23	2684	131516
24	2805	131856
25	2933	132443
26	3049	132495
27	3163	132395
28	3283	132582
29	3386	132078
30	3496	131853
31	3581	130718
32	3692	130573
33	3800	130324
34	3907	130068
35	4032	130380
36	4142	130222
37	4251	130009
38	4355	129659
39	4454	129192
40	4558	128848
41	4655	128359
42	4762	128133
43	4859	127684
44	4959	127283
45	5062	126990
46	5161	126628
47	5263	126335
48	5361	125948
49	5458	125552
50	5558	125223
51	5658	124931
52	5755	124562
53	5843	124007
54	5933	123531
55	6027	123137
56	6126	122857
57	6221	122497
58	6317	122167
59	6412	121836
60	6504	121450
61	6592	120996
62	6681	120577
63	6772	120209
64	6865	119878
65	6961	119609
66	7051	119249
67	7143	118919
68	7243	118732
69	7347	118603
70	7439	118305
71	7538	118110
72	7680	118567
73	7779	118375
74	7866	118004
75	7964	117797
76	8063	117597
77	8168	117504
78	8269	117350
79	8375	117254
80	8486	117242
81	8617	117491
82	8728	117465
83	8856	117666
84	8968	117651
85	9059	117356
86	9159	117184
87	9249	116876
88	9338	116571
89	9426	116258
90	9512	115925
91	9605	115678
92	9701	115480
93	9797	115281
94	9888	115021
95	9982	114801
96	10073	114550
97	10168	114346
98	10261	114115
99	10364	114007
100	10454	113760
101	10537	113434
102	10619	113102
103	10713	112900
104	10810	112736
105	10906	112566
106	11005	112417
107	11099	112223
108	11186	111965
109	11282	111797
110	11378	111633
111	11474	111466
112	11563	111236
113	11657	111054
114	11762	110979
115	11858	110818
116	11946	110585
117	12040	110408
118	12132	110210
119	12232	110094
120	12342	110062
121	12447	109984
122	12544	109841
123	12627	109575
124	12716	109362
125	12807	109170
126	12899	108988
127	12993	108816
128	13082	108614
129	13168	108383
130	13262	108227
131	13359	108087
132	13452	107924
133	13530	107639
134	13619	107445
135	13715	107303
136	13806	107122
137	13896	106939
138	13989	106784
139	14077	106585
140	14166	106398
